lat,lon,leng,color
39.826404,-2.355137,es,blue
36.862956,-2.520949,es,blue
41.568845,-0.95628,es,blue
27.74903,-15.799294,es,blue
39.321706,-1.769862,es,blue
37.235599,-5.579821,es,blue
41.390497,-5.763345,pt,black
38.384924,-0.454832,es,blue
36.549848,-5.869558,pt,black
42.331663,2.086553,ca,aquamarine
37.218863,-3.595783,es,blue
39.633732,3.382158,es,blue
37.181703,-7.342935,es,blue
39.323301,-0.646165,es,blue
41.650294,1.724053,ca,aquamarine
36.469242,-5.139667,en,yellow
42.085299,2.689143,ca,aquamarine
28.429221,-16.430397,es,blue
41.192727,1.360618,ca,aquamarine
42.840365,-2.406639,es,blue
39.438542,3.122824,es,blue
41.775487,1.36044,ca,aquamarine
43.319954,-3.037149,es,blue
37.505981,-4.227576,es,blue
43.308021,-8.312042,pt,black
43.46319,-7.197229,it,green
39.37599,3.059746,en,yellow
37.979643,-4.688557,es,blue
37.373814,-1.705327,es,blue
39.056256,-0.504955,it,green
42.438192,-6.207261,en,yellow
40.437589,-4.218042,es,blue
40.260174,-4.808114,es,blue
42.463033,-9.299516,es,blue
40.413959,-3.660927,es,blue
41.975479,2.034525,en,yellow
37.051325,-5.071801,es,blue
42.264992,-8.132433,es,blue
38.747221,-0.044131,en,yellow
37.843897,-1.094535,es,blue
36.738146,-3.140433,es,blue
43.502766,-5.863156,es,blue
37.696826,-5.585366,es,blue
43.22727,-4.075636,it,green
38.734407,-1.297461,es,blue
43.0358,-2.24899,es,blue
28.942512,-13.658387,es,blue
37.080994,-5.274768,es,blue
28.023283,-15.568686,es,blue
41.349828,1.869197,pt,black
40.021136,-3.874191,es,blue
39.321835,-6.305249,en,yellow
43.046748,-7.7257,es,blue
42.293567,-0.507045,es,blue
42.17887,1.679793,ca,aquamarine
28.020014,-15.709633,es,blue
37.368169,-5.323277,es,blue
40.055263,0.084066,pt,black
41.638885,2.365388,ca,aquamarine
37.377038,-6.063092,es,blue
41.757417,2.848834,ca,aquamarine
42.471933,-3.450668,es,blue
27.805868,-15.553822,es,blue
38.992309,1.389614,en,yellow
43.164386,-2.499565,es,blue
40.78058,-4.167062,es,blue
40.638917,-3.680577,es,blue
41.730647,2.538758,ca,aquamarine
41.648937,2.462409,ca,aquamarine
27.953391,-15.598471,es,blue
40.649098,-3.968681,ca,aquamarine
41.443816,-4.830955,es,blue
39.537782,-0.776077,en,yellow
28.250783,-14.058235,es,blue
43.406412,-5.193245,ca,aquamarine
41.61503,2.62727,ca,aquamarine
39.527698,-0.388532,es,blue
41.559099,-4.695351,es,blue
41.449732,2.152295,ca,aquamarine
43.417486,-8.31654,pt,black
37.038433,-1.915959,en,yellow
28.082205,-15.562471,es,blue
39.258056,-5.40688,es,blue
38.496705,-1.02659,es,blue
43.553214,-7.962343,es,blue
38.64048,1.380099,ca,aquamarine
27.842027,-15.541244,es,blue
41.5282,1.9191,es,blue
38.749545,-6.189492,es,blue
42.40696,-7.605247,es,blue
37.539228,-4.427094,es,blue
39.086703,-2.945522,es,blue
43.228988,-5.773452,es,blue
37.156168,-3.928069,es,blue
39.891698,-0.174983,es,blue
36.789861,-6.738059,fr,magenta
41.471162,2.246668,ca,aquamarine
42.164042,-0.836628,es,blue
42.150116,2.446113,es,blue
42.697604,-0.541049,es,blue
43.353808,-3.814331,es,blue
41.543399,0.346548,es,blue
37.203332,-3.509669,en,yellow
41.808086,-7.474616,es,blue
42.594215,-3.055554,es,blue
42.532935,-0.432319,en,yellow
39.562201,-0.579537,en,yellow
40.413595,-0.21506,it,green
37.449259,-3.013446,es,blue
38.619842,-0.156754,es,blue
38.162341,-1.59548,es,blue
43.220328,-5.669425,es,blue
41.818446,0.250899,es,blue
39.063693,-1.071383,es,blue
37.376583,-6.064569,es,blue
40.984516,-5.702429,es,blue
41.264464,1.915288,ca,aquamarine
40.062178,-3.919323,es,blue
41.257517,-3.453292,es,blue
42.737811,-9.11548,pt,black
42.269915,3.109312,es,blue
38.571826,-4.262514,es,blue
28.390962,-16.569425,es,blue
37.004714,-5.589287,es,blue
38.361473,-1.005079,es,blue
41.900611,-8.886955,es,blue
41.734922,-5.471969,es,blue
38.670096,-3.549261,it,green
38.001364,-2.343879,es,blue
41.774062,1.904127,pt,black
39.799689,3.035653,en,yellow
37.940486,-7.336735,es,blue
40.71822,0.073341,es,blue
37.264387,-2.336956,es,blue
28.671054,-17.844141,es,blue
40.403764,-3.653878,es,blue
43.323163,-2.710106,es,blue
37.262817,-6.385734,it,green
38.482334,-0.332115,es,blue
38.51142,-2.48037,es,blue
